round,source_file,task,family,baseline_quick_acc,best_quick_cfg,best_quick_acc,best_quick_delta_pp,baseline_med_acc,best_med_cfg,best_med_acc,best_med_delta_pp,compare_mode,anchor_acc,best_med_delta_vs_anchor_pp,effective
169,_round169_fastdiscover_records.jsonl,arc_mc_seed19_discovery,arc_mc,0.2916666667,scalar_l8_train8e5,0.4166666667,12.5000000000,0.3750000000,scalar_l8_train8e5,0.4166666667,4.1666666667,med_vs_med,0.3750000000,4.1666666667,1
170,_round170_fastdiscover_records.jsonl,mbpp_seed24_headprobe,mbpp,0.4002650652,scalar_l8_train8e5,0.4288190557,2.8553990580,0.4674374357,scalar_l8_train8e5,0.4726174217,0.5179985940,med_vs_med,0.4674374357,0.5179985940,1
171,_round171_fastdiscover_records.jsonl,arc_mc_seed20_discovery,arc_mc,0.3333333333,scalar_l8_train1e4,0.4166666667,8.3333333333,0.3333333333,scalar_l8_train1e4,0.4166666667,8.3333333333,med_vs_med,0.3333333333,8.3333333333,1
171,_round171_fastdiscover_records.jsonl,protein_ss_seed32_discovery,protein_ss,0.2833291830,scalar_l8_train8e5,0.3008730426,1.7543859649,0.2940910798,scalar_l8_train8e5,0.3008730426,0.6781962828,med_vs_med,0.2940910798,0.6781962828,1
173,_round173_fastdiscover_records.jsonl,hotpot_seed30_discovery,hotpot,0.0957443457,head_l8,0.1135418635,1.7797517798,0.1087844255,head_l8,0.1135418635,0.4757438091,med_vs_med,0.1087844255,0.4757438091,1
174,_round174_fastdiscover_records.jsonl,mbpp_longctx_seed7_repair,mbpp_longctx,0.1262194596,scalar_l8_train1e4,0.1426228093,1.6403349737,0.2248978620,scalar_l8_train1e4,0.2282467532,0.3348891252,med_vs_med,0.2248978620,0.3348891252,1
174,_round174_fastdiscover_records.jsonl,protein_ss_seed33_discovery,protein_ss,0.2878148898,scalar_l8_train1e4,0.3019815832,1.4166693443,0.2878148898,scalar_l8_train1e4,0.3019815832,1.4166693443,med_vs_med,0.2878148898,1.4166693443,1
175,_round175_fastdiscover_records.jsonl,punc_seed18_anchor,punc,0.0779217250,head_l8,0.0912474327,1.3325707756,0.0964588667,head_l8,0.1086994412,1.2240574531,med_vs_med,0.0964588667,1.2240574531,1
181,_round181_fastdiscover_records.jsonl,hotpot_seed32_discovery,hotpot,0.0804958826,scalar_l8_train1e4,0.1021546022,2.1658719591,0.1017503384,scalar_l8_train1e4,0.1087844255,0.7034087073,med_vs_med,0.1017503384,0.7034087073,1
182,_round182_fastdiscover_records.jsonl,mbpp_longctx_seed8_repair,mbpp_longctx,0.1549684883,head_l8,0.1857031857,3.0734697401,0.1964285714,head_l8,0.2018037518,0.5375180375,med_vs_med,0.1964285714,0.5375180375,1
182,_round182_fastdiscover_records.jsonl,protein_ss_seed37_discovery,protein_ss,0.2913417916,scalar_l8_train1e4,0.3068965517,1.5554760098,0.2939371389,scalar_l8_train1e4,0.3154506375,2.1513498601,med_vs_med,0.2939371389,2.1513498601,1
184,_round184_fastdiscover_records.jsonl,protein_ss_seed38_discovery,protein_ss,0.2776402298,head_l8,0.2954075532,1.7767323399,0.2897024142,head_l8,0.2954075532,0.5705138983,med_vs_med,0.2897024142,0.5705138983,1
187,_round187_fastdiscover_records.jsonl,arc_mc_seed28_discovery,arc_mc,0.2916666667,scalar_l8_train8e5,0.3333333333,4.1666666667,0.3333333333,scalar_l8_train8e5,0.3750000000,4.1666666667,med_vs_med,0.3333333333,4.1666666667,1
188,_round188_fastdiscover_records.jsonl,punc_seed21_anchor,punc,0.0797127466,head_l8,0.0951395744,1.5426827823,0.1093525387,head_l8,0.1147917262,0.5439187509,med_vs_med,0.1093525387,0.5439187509,1
189,_round189_fastdiscover_records.jsonl,hotpot_seed34_discovery,hotpot,0.0841365841,head_l8,0.1085648586,2.4428274428,0.1023979107,head_l8,0.1085648586,0.6166947834,med_vs_med,0.1023979107,0.6166947834,1
191,_round191_fastdiscover_records.jsonl,mbpp_seed32_headprobe,mbpp,0.4127623447,head_l10_strong,0.4209295094,0.8167164728,0.4717633497,head_l10_strong,0.4885860522,1.6822702432,med_vs_med,0.4717633497,1.6822702432,1
193,_round193_fastdiscover_records.jsonl,arc_mc_seed31_discovery,arc_mc,0.3333333333,scalar_l8_sched_cos,0.3750000000,4.1666666667,0.3333333333,scalar_l8_sched_cos,0.4166666667,8.3333333333,med_vs_med,0.3333333333,8.3333333333,1
193,_round193_fastdiscover_records.jsonl,protein_ss_seed43_discovery,protein_ss,0.3115903165,scalar_l8_train1e4,0.3246551207,1.3064804245,0.3115903165,scalar_l8_train1e4,0.3359850754,2.4394758909,med_vs_med,0.3115903165,2.4394758909,1
195,_round195_fastdiscover_records.jsonl,arc_mc_seed32_discovery,arc_mc,0.3750000000,scalar_l8_sched_cos,0.4583333333,8.3333333333,0.3750000000,scalar_l8_sched_cos,0.4583333333,8.3333333333,med_vs_med,0.3750000000,8.3333333333,1
196,_round196_fastdiscover_records.jsonl,punc_seed23_anchor,punc,0.0863630222,head_l8,0.0946455426,0.8282520325,0.1041100257,head_l8,0.1071764951,0.3066469367,med_vs_med,0.1041100257,0.3066469367,1
198,_round198_fastdiscover_records.jsonl,mbpp_longctx_seed10_repair,mbpp_longctx,0.0929810930,head_l8,0.1625658292,6.9584736251,0.1629807692,head_l8,0.1964285714,3.3447802198,med_vs_med,0.1629807692,3.3447802198,1
198,_round198_fastdiscover_records.jsonl,protein_ss_seed45_discovery,protein_ss,0.2750532849,scalar_l8_train1e4,0.3119422109,3.6888926013,0.2761118598,scalar_l8_train1e4,0.3119422109,3.5830351096,med_vs_med,0.2761118598,3.5830351096,1
203,_round203_fastdiscover_records.jsonl,protein_ss_seed48_discovery,protein_ss,0.2698493027,scalar_l8_train8e5,0.3237902448,5.3940942099,0.2991820156,scalar_l8_train8e5,0.3237902448,2.4608229269,med_vs_med,0.2991820156,2.4608229269,1
