round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
178,mbpp_seed27_headprobe,mbpp,0.03853313808064307,head_l10_strong,,,False
179,arc_mc_seed24_discovery,arc_mc,4.166666666666669,scalar_l8_train1e4,0.0,scalar_l8_train1e4,True
179,protein_ss_seed36_discovery,protein_ss,0.0,head_l8,,,False
180,mbpp_seed28_anchor,mbpp,0.11653087282474384,head_l10_strong,,,False
180,punc_seed19_anchor,other,0.2455740852365329,scalar_l8_train1e4,,,False
181,arc_mc_seed25_discovery,arc_mc,8.333333333333337,scalar_l8_train8e5,0.0,scalar_l8_train8e5,True
181,hotpot_seed32_discovery,hotpot,2.1658719591050426,scalar_l8_train1e4,0.7034087072846751,scalar_l8_train1e4,False
182,mbpp_longctx_seed8_repair,mbpp_longctx,3.0734697401364057,head_l8,0.5375180375180366,head_l8,False
182,protein_ss_seed37_discovery,protein_ss,1.5554760098200282,scalar_l8_train1e4,2.1513498600612913,scalar_l8_train1e4,False
183,mbpp_seed29_headprobe,mbpp,2.007827306667637,scalar_l8_train8e5,-1.8488716192250787,scalar_l8_train8e5,True
183,punc_seed20_anchor,other,1.188753289285302,head_l8,-0.027202253314122238,head_l8,True
184,arc_mc_seed26_discovery,arc_mc,0.0,scalar_l8_train8e5,,,False
184,protein_ss_seed38_discovery,protein_ss,1.776732339886672,head_l8,0.570513898293129,head_l8,False
185,arc_mc_seed27_discovery,arc_mc,0.0,scalar_l8_sched_cos,,,False
185,protein_ss_seed39_discovery,protein_ss,4.143356643356643,scalar_l8_train8e5,-1.5563445552444988,scalar_l8_train8e5,True
186,hotpot_seed33_discovery,hotpot,3.1683287698325318,scalar_l8_train1e4,-0.5256048860699997,scalar_l8_train1e4,True
186,mbpp_seed30_headprobe,mbpp,-1.312713688279299,scalar_l8_train8e5,,,False
187,arc_mc_seed28_discovery,arc_mc,4.1666666666666625,scalar_l8_train8e5,4.166666666666669,scalar_l8_train8e5,False
187,protein_ss_seed40_discovery,protein_ss,0.0,head_l8,,,False
188,mbpp_seed31_anchor,mbpp,0.7346939370706074,head_l10_strong,,,False
188,punc_seed21_anchor,other,1.5426827823237441,head_l8,0.5439187509494153,head_l8,False
189,arc_mc_seed29_discovery,arc_mc,8.333333333333332,scalar_l8_train1e4,-4.1666666666666625,scalar_l8_train1e4,True
189,hotpot_seed34_discovery,hotpot,2.442827442827443,head_l8,0.6166947833614531,head_l8,False
190,mbpp_longctx_seed9_repair,mbpp_longctx,5.749805749805749,scalar_l8_train8e5,-1.5949328449328477,scalar_l8_train8e5,True
190,protein_ss_seed41_discovery,protein_ss,0.0,head_l8,,,False
191,mbpp_seed32_headprobe,mbpp,0.8167164728250631,head_l10_strong,1.6822702431810999,head_l10_strong,False
191,punc_seed22_anchor,other,0.8905340380786275,head_l8,-0.27138774535450105,head_l8,True
192,arc_mc_seed30_discovery,arc_mc,-8.333333333333337,scalar_l8_train8e5,,,False
192,protein_ss_seed42_discovery,protein_ss,0.4994457297088917,scalar_l8_train8e5,,,False
193,arc_mc_seed31_discovery,arc_mc,4.166666666666669,scalar_l8_sched_cos,8.333333333333337,scalar_l8_sched_cos,False
193,protein_ss_seed43_discovery,protein_ss,1.3064804244554473,scalar_l8_train1e4,2.4394758908670044,scalar_l8_train1e4,False
194,hotpot_seed35_discovery,hotpot,-1.0174510174510183,scalar_l8_train1e4,,,False
194,mbpp_seed33_headprobe,mbpp,1.9156870061847409,scalar_l8_sched_cos,-0.3364011102935105,scalar_l8_sched_cos,True
195,arc_mc_seed32_discovery,arc_mc,8.333333333333332,scalar_l8_sched_cos,8.333333333333332,scalar_l8_sched_cos,False
195,protein_ss_seed44_discovery,protein_ss,-1.4426510699322326,head_l8,,,False
196,mbpp_seed34_anchor,mbpp,0.8156948611899528,head_l10_strong,-2.160738012704233,head_l10_strong,True
196,punc_seed23_anchor,other,0.8282520325203255,head_l8,0.3066469367264249,head_l8,False
197,arc_mc_seed33_discovery,arc_mc,4.1666666666666625,scalar_l8_sched_cos,-4.166666666666669,scalar_l8_sched_cos,True
197,hotpot_seed36_discovery,hotpot,-1.398601398601397,scalar_l8_train1e4,,,False
198,mbpp_longctx_seed10_repair,mbpp_longctx,6.958473625140289,head_l8,3.344780219780219,head_l8,False
198,protein_ss_seed45_discovery,protein_ss,3.688892601262533,scalar_l8_train1e4,3.5830351096056425,scalar_l8_train1e4,False
199,mbpp_seed35_headprobe,mbpp,-1.0260434468579271,scalar_l8_sched_cos,,,False
199,punc_seed24_anchor,other,-0.393469131936644,scalar_l8_train8e5,,,False
200,arc_mc_seed34_discovery,arc_mc,0.0,scalar_l8_train1e4,,,False
200,protein_ss_seed46_discovery,protein_ss,0.0,head_l8,,,False
201,arc_mc_seed35_discovery,arc_mc,0.0,scalar_l8_train8e5,,,False
201,protein_ss_seed47_discovery,protein_ss,0.007832080200498304,scalar_l8_train8e5,,,False
202,hotpot_seed37_discovery,hotpot,-0.4977004977004984,head_l8,,,False
202,mbpp_seed36_headprobe,mbpp,-0.44509877089062844,scalar_l8_sched_cos,,,False
